Gene,Sample_01-a01va,Sample_02-a01vb,Sample_03-a01vc,Sample_04-a01ca,Sample_05-a01cb,Sample_06-a01cc,Sample_07-a02vb,Sample_08-a02vc,Sample_09-a02ca,Sample_10-a02cb,Sample_11-a02cc,Sample_12-a04va,Sample_13-a04vb,Sample_14-a04vc,Sample_15-a04ca,Sample_16-a04cb,Sample_17-a04cc,Sample_18-a05va,Sample_19-a05vb,Sample_20-a05vc,Sample_21-a05ca,Sample_22-a05cb,Sample_23-a05cc,Sample_24-a06ca,Sample_25-a06cb,Sample_26-a07va,Sample_27-a07vb,Sample_28-a07vc,Sample_29-a07ca,Sample_30-a07cb,Sample_31-a07cc,Sample_32-a08va,Sample_33-a08vb,Sample_34-a08vc,Sample_35-a08ca,Sample_36-a08cc,Sample_37-a09va,Sample_38-a09vb,Sample_39-a09vc,Sample_40-a09ca,Sample_41-a09cb,Sample_42-a09cc,Sample_43-a10va,Sample_44-a10vb,Sample_45-a10vc,Sample_46-a10ca,Sample_47-a10cb,Sample_48-a10cc,Sample_49-a12va,Sample_50-a12vb,Sample_51-a13va,Sample_52-a13vb,Sample_53-a13vc,Sample_54-a13ca,Sample_55-a13cb,Sample_56-a13cc,Sample_57-a14va,Sample_58-a14vb,Sample_59-a14vc,Sample_60-a14ca,Sample_61-a14cb,Sample_62-a14cc,Sample_63-a17va,Sample_64-a17vb,Sample_65-a17vc,Sample_66-a17ca,Sample_67-a17cb,Sample_68-a17cc,Sample_69-arva,Sample_70-arvb,Sample_71-arvc,Sample_72-arca,Sample_73-arcb,Sample_74-arcc
PkV-RF01_g945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,3,4,0,0,0,1,1,1,0,0,0,2,0,0,0,0,4,2,0,0,0,0,1,2,0,5,1,0,0,0,11,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
PkV-RF01_g946,0,0,0,0,0,0,0,0,0,0,0,54,41,26,0,0,0,90,136,162,0,0,0,0,0,72,131,70,0,0,0,154,185,95,0,0,116,100,61,0,0,3,81,60,77,0,0,0,53,119,85,80,45,0,0,0,52,47,65,0,0,0,117,135,99,0,0,0,0,0,0,0,0,0
PkV-RF01_g947,3,2,0,0,0,0,19,50,0,0,0,203,199,63,0,0,0,141,229,267,0,0,0,0,0,70,163,86,0,0,0,156,220,73,0,0,62,131,56,0,0,6,77,73,104,0,0,0,65,105,103,112,56,0,0,0,106,109,106,0,0,0,263,413,243,0,0,0,0,0,0,0,0,0
PkV-RF01_g948,0,0,0,0,0,0,0,0,0,0,0,338,392,144,0,0,0,391,658,867,0,0,0,0,0,333,637,372,0,0,0,760,705,287,0,0,240,440,218,0,0,0,273,257,367,0,0,0,199,233,237,165,150,0,0,0,187,252,240,0,0,0,585,570,411,0,0,0,0,0,0,0,0,0
PkV-RF01_g949,3,0,4,0,0,0,27,46,0,0,0,920,971,301,0,0,0,759,1096,1095,0,0,0,0,0,396,916,531,0,0,0,804,978,400,0,0,332,592,204,0,0,4,410,323,452,0,0,0,340,649,487,489,276,0,0,0,400,469,514,0,0,0,1750,2449,1506,0,0,0,0,1,1,0,0,0
PkV-RF01_g950,0,0,0,0,0,0,0,0,0,0,0,42,50,7,0,0,0,77,136,157,0,0,0,0,0,102,207,117,0,0,0,239,275,134,0,0,162,219,80,0,0,0,187,107,205,0,0,0,166,299,272,248,135,0,0,0,137,136,202,0,0,0,193,177,117,0,0,0,0,0,0,0,0,0
PkV-RF01_g951,0,0,0,0,0,0,0,0,0,0,0,48,73,21,0,0,0,80,108,149,0,0,0,0,0,76,138,50,0,0,0,157,166,70,0,0,56,142,29,0,0,0,70,55,100,0,0,0,76,116,150,157,51,0,0,0,141,196,183,0,0,0,211,203,140,0,0,0,0,0,0,0,0,0
PkV-RF01_g952,0,0,0,0,0,0,0,0,0,0,0,56,62,19,0,0,0,46,94,104,0,0,0,0,0,50,113,35,0,0,0,111,119,65,0,0,38,82,33,0,0,0,50,32,54,0,0,0,79,147,292,319,91,0,0,0,392,295,342,0,0,0,280,278,187,0,0,0,0,0,0,0,0,0
PkV-RF01_g953,0,0,0,0,0,0,0,1,0,0,0,32,44,11,0,0,0,45,60,74,0,0,0,0,0,18,84,44,0,0,0,79,93,37,0,0,35,51,25,0,0,0,42,29,51,0,0,0,23,38,40,24,11,0,0,0,27,30,51,0,0,0,64,100,59,0,0,0,3,0,8,0,0,0
PkV-RF01_g954,0,0,0,0,0,0,0,0,0,0,0,16,22,3,0,0,0,9,23,27,0,0,0,0,0,1,25,9,0,0,0,19,40,12,0,0,6,5,9,0,0,0,11,3,11,0,0,0,13,13,6,27,3,0,0,0,14,3,14,0,0,0,17,25,23,0,0,0,0,0,0,0,0,0
PkV-RF01_g955,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,5,15,15,0,0,0,0,0,10,21,7,0,0,0,28,28,7,0,0,16,22,6,0,0,0,26,12,23,0,0,0,23,33,43,66,10,0,0,0,50,10,36,0,0,0,24,15,11,0,0,0,0,0,0,0,0,0
PkV-RF01_g956,0,0,0,0,0,0,0,1,0,0,0,5,6,2,0,0,0,3,3,12,0,0,0,0,0,9,7,4,0,0,0,7,4,9,0,0,2,9,0,0,0,0,2,4,9,0,0,0,5,11,8,93,0,0,0,0,28,2,9,0,0,0,7,10,3,0,0,0,0,0,0,0,0,0
PkV-RF01_g957,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,6,6,9,0,0,0,0,0,7,14,7,0,0,0,21,38,13,0,0,11,28,8,0,0,0,25,14,22,0,0,0,22,38,55,34,5,0,0,0,28,14,19,0,0,0,22,16,8,0,0,0,0,0,0,0,0,0
PkV-RF01_g958,0,0,0,0,0,0,0,0,0,0,0,16,25,9,0,0,0,16,32,38,0,0,0,0,0,11,44,20,0,0,0,59,58,15,0,0,25,40,16,0,0,0,26,23,41,0,0,0,16,37,43,34,20,0,0,0,21,18,24,0,0,0,49,66,34,0,0,0,0,0,0,0,0,0
PkV-RF01_g959,0,0,0,0,0,0,0,0,0,0,0,25,27,10,0,0,0,54,98,102,0,0,0,0,0,107,222,113,0,0,0,363,307,134,0,0,148,342,122,0,0,0,205,165,280,0,0,0,245,334,412,380,234,0,0,0,216,453,309,0,0,0,259,292,149,0,0,0,1,0,0,0,0,0
PkV-RF01_g960,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,3,15,14,0,0,0,0,0,11,39,14,0,0,0,49,59,26,0,0,35,33,14,0,0,3,49,32,45,0,0,0,56,80,107,110,49,0,0,0,74,55,78,0,0,0,65,43,19,0,0,0,0,0,0,0,0,0
PkV-RF01_g961,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,15,25,18,0,0,0,0,0,133,123,65,0,0,0,215,274,136,0,0,193,201,83,0,0,0,227,177,274,0,0,0,290,683,536,758,202,0,0,0,455,419,519,0,0,0,225,279,183,0,0,0,0,0,5,0,0,0
