"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_1",0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,4,2,0,0,0,0,0,3,3,2,0,0,0,2,4,2,0,0,0,3,0,0,0,0,2,1,0,0,0,0,8,6,8,6,1,0,0,0,15,10,11,0,0,0,14,11,18,0,0,0,0,0,0,0,0,0
"gene_2",15,10,7,0,0,0,17,19,0,0,0,103,100,40,0,0,0,86,124,176,0,0,0,0,0,49,110,78,0,0,0,88,96,36,0,0,38,55,24,0,0,0,28,36,30,0,0,0,42,92,105,102,41,0,0,0,107,110,102,0,0,0,240,317,202,0,0,0,4,2,2,0,0,0
"gene_3",0,0,0,0,0,0,0,1,0,0,0,34,27,10,0,0,0,32,48,41,0,0,0,0,0,12,25,12,0,0,0,12,26,9,0,0,8,23,10,0,0,1,19,9,9,0,0,0,3,10,30,15,13,0,0,0,12,3,15,0,0,0,69,85,64,0,0,0,0,0,0,0,0,0
"gene_4",0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,2,10,21,0,0,0,0,0,1,8,4,0,0,0,9,17,4,0,0,8,13,2,0,0,0,9,4,13,0,0,0,10,24,21,22,5,0,0,0,29,5,13,0,0,0,11,23,9,0,0,0,0,0,0,0,0,0
"gene_5",4,0,0,0,0,0,7,7,0,0,0,36,25,10,0,0,0,20,36,41,0,0,0,0,0,14,22,11,0,0,0,27,14,8,0,0,11,22,6,0,0,0,11,12,14,0,0,0,10,18,14,18,3,0,0,0,20,33,30,0,0,0,44,70,28,0,0,0,0,0,0,0,0,0
"gene_6",0,0,0,0,0,0,0,1,0,0,0,18,17,7,0,0,0,14,23,20,0,0,0,0,0,19,19,5,0,0,0,19,24,13,0,0,19,34,8,0,0,0,11,13,18,0,0,0,16,57,67,38,20,0,0,0,34,52,38,0,0,0,35,72,36,0,0,0,0,0,0,0,0,0
"gene_7",0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,9,13,10,0,0,0,0,0,17,12,12,0,0,0,30,38,19,0,0,9,29,10,0,0,0,27,18,29,0,0,0,66,103,151,106,51,0,0,0,95,82,79,0,0,0,64,65,34,0,0,0,0,0,0,0,0,0
"gene_8",0,0,0,0,0,0,0,0,0,0,0,1,11,4,0,0,0,4,19,11,0,0,0,0,0,3,12,8,0,0,0,21,24,8,0,0,17,22,11,0,0,0,9,9,17,0,0,0,20,45,47,61,19,0,0,0,65,50,42,0,0,0,41,31,24,0,0,0,0,0,0,0,0,0
"gene_9",10,21,5,0,0,0,49,35,0,0,0,390,460,197,0,0,0,1035,903,650,0,0,0,0,0,766,688,413,0,0,0,796,843,980,0,0,476,482,330,0,0,7,485,449,707,0,0,0,470,1268,690,276,245,0,0,0,326,596,800,0,0,0,1645,841,1094,0,0,0,1,0,2,0,0,0
"gene_10",0,0,0,0,0,0,3,2,0,0,0,66,80,39,0,0,0,219,199,182,0,0,0,0,0,411,487,306,0,0,0,711,848,818,0,0,702,532,397,0,0,0,871,758,1044,0,0,0,877,2178,1566,584,547,0,0,0,401,1035,1382,0,0,0,1478,619,795,0,0,0,0,0,0,0,0,0
"gene_11",16,9,7,0,0,0,33,45,0,0,0,192,256,88,0,0,0,275,307,314,0,0,0,0,0,127,233,143,0,0,0,252,270,155,0,0,85,206,58,0,0,3,96,68,145,0,0,0,135,249,295,162,122,0,0,0,148,226,245,0,0,0,470,542,390,0,0,0,9,0,0,0,0,0
"gene_12",0,0,0,0,0,0,4,1,0,0,0,33,52,14,0,0,0,44,69,67,0,0,0,0,0,20,64,37,0,0,0,52,59,31,0,0,35,50,15,0,0,0,39,26,29,0,0,0,19,39,41,46,14,0,0,0,27,8,30,0,0,0,79,112,56,0,0,0,0,0,0,0,0,0
"gene_13",0,0,0,0,0,0,0,3,0,0,0,80,79,36,0,0,0,68,127,159,0,0,0,0,0,42,103,61,0,0,0,93,112,58,0,0,66,64,25,0,0,0,27,33,50,0,0,0,34,73,78,100,41,0,0,0,65,59,68,0,0,0,145,174,136,0,0,0,0,0,0,0,0,0
"gene_14",0,0,0,0,0,0,0,0,0,0,0,49,43,13,0,0,0,24,92,113,0,0,0,0,0,28,85,46,0,0,0,96,98,31,0,0,41,56,23,0,0,0,34,33,44,0,0,0,17,43,30,59,33,0,0,0,49,27,40,0,0,0,92,62,66,0,0,0,0,0,0,0,0,0
"gene_15",0,0,0,0,0,0,0,0,0,0,0,18,23,2,0,0,0,11,37,35,0,0,0,0,0,36,64,30,0,0,0,70,114,39,0,0,63,63,39,0,0,0,84,47,87,0,0,0,112,178,132,185,72,0,0,0,100,105,139,0,0,0,70,88,66,0,0,0,0,0,0,0,0,0
"gene_16",11,8,2,0,0,0,17,30,0,0,0,171,250,66,0,0,0,146,199,260,0,0,0,0,0,99,166,113,0,0,0,133,213,69,0,0,49,97,39,0,0,0,55,57,67,0,0,0,70,115,95,123,54,0,0,0,91,89,137,0,0,0,276,427,273,0,0,0,3,0,5,0,0,0
"gene_17",0,0,0,0,0,0,0,0,0,0,0,12,10,2,0,0,0,14,30,28,0,0,0,0,0,26,38,25,0,0,0,81,113,27,0,0,33,79,18,0,0,0,47,23,90,0,0,0,441,708,1946,1481,769,0,0,0,2457,2391,3139,0,0,0,1776,1864,1260,0,0,0,0,0,2,0,0,0
"gene_18",0,0,0,0,0,0,0,0,0,0,0,10,12,2,0,0,0,15,16,30,0,0,0,0,0,1,32,12,0,0,0,14,32,15,0,0,25,14,7,0,0,0,29,24,30,0,0,0,26,46,31,55,12,0,0,0,22,28,25,0,0,0,32,25,21,0,0,0,0,0,0,0,0,0
"gene_19",0,0,0,0,0,0,0,0,0,0,0,61,43,22,0,0,0,48,98,105,0,0,0,0,0,34,100,44,0,0,0,84,103,29,0,0,28,51,40,0,0,0,34,34,38,0,0,0,33,42,22,41,29,0,0,0,29,19,36,0,0,0,90,78,62,0,0,0,0,0,0,0,0,0
"gene_20",0,0,0,0,0,0,0,0,0,0,0,12,6,4,0,0,0,25,36,39,0,0,0,0,0,35,95,37,0,0,0,109,83,45,0,0,64,74,20,0,0,0,71,40,83,0,0,0,66,156,114,141,47,0,0,0,70,64,86,0,0,0,85,85,49,0,0,0,0,0,0,0,0,0
"gene_21",0,0,0,0,0,0,0,0,0,0,0,32,35,8,0,0,0,30,47,41,0,0,0,0,0,21,48,23,0,0,0,44,48,15,0,0,20,30,12,0,0,0,19,15,26,0,0,0,16,35,37,39,11,0,0,0,19,28,30,0,0,0,48,82,59,0,0,0,0,0,0,0,0,0
"gene_22",0,0,0,0,0,0,0,0,0,0,0,14,11,6,0,0,0,13,17,34,0,0,0,0,0,12,15,8,0,0,0,20,30,9,0,0,13,30,5,0,0,0,12,12,20,0,0,0,13,15,43,28,18,0,0,0,39,31,41,0,0,0,28,54,26,0,0,0,0,0,0,0,0,0
"gene_23",1,0,0,0,0,0,0,0,0,0,1,2,5,2,0,0,0,17,10,20,0,0,0,0,0,31,17,28,0,0,0,55,106,26,0,0,21,42,20,0,0,0,52,38,41,0,0,0,1082,1613,3624,4281,1452,0,0,0,9557,10545,6610,0,0,0,4642,3957,3541,0,0,0,2,0,9,0,0,0
"gene_24",0,0,0,0,0,0,0,0,0,0,0,18,23,7,0,0,0,71,95,99,0,0,0,0,0,94,221,171,1,0,0,361,353,160,0,0,223,316,122,0,0,0,322,241,352,0,0,0,419,600,653,419,273,0,0,0,291,464,462,0,0,0,354,323,252,0,0,0,0,0,0,0,0,0
"gene_25",0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,13,9,2,0,0,0,0,0,7,27,6,0,0,0,19,22,21,0,0,9,12,6,0,0,0,10,18,27,0,0,0,20,17,16,13,10,0,0,0,12,15,17,0,0,0,22,16,5,0,0,0,0,0,0,0,0,0
"gene_26",15,9,8,0,0,0,19,35,0,0,0,145,144,56,0,0,0,100,151,236,0,0,0,0,0,59,139,48,0,0,0,79,137,52,0,0,57,47,25,0,0,1,47,62,49,0,0,0,57,97,104,164,29,0,0,0,135,105,120,0,0,0,296,403,314,0,0,0,0,0,0,0,0,0
"gene_27",0,0,0,0,0,0,0,0,0,0,0,18,27,11,0,0,0,60,70,78,0,0,0,0,0,95,148,104,0,0,0,295,335,128,0,0,155,292,119,0,0,0,189,169,328,0,0,0,320,496,505,403,249,0,0,0,325,399,408,0,0,0,310,323,226,0,0,0,7,0,36,0,0,0
"gene_28",0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,8,10,0,0,0,0,0,14,24,15,0,0,0,18,24,13,0,0,14,13,7,0,0,0,12,20,11,0,0,0,7,23,14,13,8,0,0,0,24,7,14,0,0,0,11,7,8,0,0,0,0,0,0,0,0,0
"gene_29",0,0,0,0,0,0,0,0,0,0,0,45,32,27,0,0,0,41,75,82,0,0,0,0,0,33,72,59,0,0,0,104,106,46,0,0,41,85,43,0,0,0,59,36,73,0,0,0,49,47,68,66,42,0,0,0,32,40,52,0,0,0,79,121,55,0,0,0,0,0,0,0,0,0
"gene_30",0,0,0,0,0,0,0,0,0,0,0,16,7,6,0,0,0,26,29,42,0,0,0,0,0,48,65,35,0,0,0,82,70,34,0,0,45,75,26,0,0,2,49,29,31,0,0,0,25,39,30,40,30,0,0,0,29,36,34,0,0,0,37,48,36,0,0,0,0,0,0,0,0,0
"gene_31",0,0,0,0,0,0,0,0,0,0,0,8,5,4,0,0,0,6,9,15,0,0,0,0,0,15,25,16,0,0,0,7,16,5,0,0,4,8,1,0,0,0,8,10,13,0,0,0,3,7,13,24,4,0,0,0,9,7,9,0,0,0,16,25,11,0,0,0,0,0,0,0,0,0
"gene_32",0,0,0,0,0,0,0,0,0,0,0,13,9,2,0,0,0,24,41,43,0,0,0,0,0,29,56,29,0,0,0,123,105,45,0,0,53,108,40,0,0,0,45,46,64,0,0,0,49,106,69,79,43,0,0,0,56,48,77,0,0,0,51,59,42,0,0,0,0,0,0,0,0,0
"gene_33",0,0,0,0,0,0,0,0,0,0,0,24,29,6,0,0,0,52,100,132,0,0,0,0,0,71,151,97,0,0,0,227,230,95,0,0,75,196,84,0,0,0,87,95,175,0,0,0,130,238,231,205,117,0,0,0,227,227,289,0,0,0,143,198,136,0,0,0,0,0,0,0,0,0
"gene_34",0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,13,12,28,0,0,0,0,0,12,52,20,0,0,0,39,46,17,0,0,36,33,27,0,0,0,49,24,25,0,0,0,30,48,63,54,27,0,0,0,52,41,76,0,0,0,28,43,41,0,0,0,0,0,0,0,0,0
"gene_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,0,0,0,0,0,0,5,0,0,0,4,2,5,25,9,0,0,0,23,8,2,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0
"gene_36",0,0,0,0,0,0,0,0,0,0,0,10,12,3,0,0,0,8,12,18,0,0,0,0,0,15,19,7,0,0,0,47,44,22,0,0,36,28,12,0,0,0,34,15,34,0,0,0,40,67,87,78,40,0,0,0,74,67,58,0,0,0,53,48,29,0,0,0,0,0,0,0,0,0
"gene_37",0,0,0,0,0,0,0,0,0,0,0,8,12,4,0,0,0,9,34,49,0,0,0,0,0,59,84,42,0,0,0,159,121,69,0,0,101,123,49,0,0,0,117,82,154,0,0,0,147,283,260,334,120,0,0,0,227,158,248,0,0,0,117,117,101,0,0,0,0,0,0,0,0,0
"gene_38",0,0,0,1,0,0,0,0,0,0,0,11,10,5,0,0,1,32,38,25,1,0,0,0,0,120,223,93,0,1,0,330,443,210,0,0,286,320,141,0,0,0,389,300,405,0,0,0,521,1221,890,1217,358,0,0,0,691,745,738,0,0,0,429,512,311,0,1,0,3,0,2,0,0,0
"gene_39",0,0,0,0,0,0,0,0,0,0,3,43,42,17,0,0,0,75,100,123,0,0,0,0,0,87,148,121,1,0,0,336,369,160,0,0,190,334,144,0,0,0,255,185,300,0,0,0,406,439,574,454,272,0,0,0,320,439,329,0,0,0,310,330,150,0,0,0,17,2,79,0,0,0
"gene_40",0,0,0,0,0,0,0,0,0,0,0,11,13,4,0,0,0,20,34,28,0,0,0,0,0,31,39,29,0,0,0,46,83,36,0,0,44,45,13,0,0,0,37,24,45,0,0,0,34,80,45,66,39,0,0,0,68,49,43,0,0,0,54,46,43,0,0,0,0,0,0,0,0,0
"gene_41",0,0,0,0,0,0,0,0,0,0,0,65,71,22,0,0,0,53,88,83,0,0,0,0,0,21,79,45,0,0,0,71,113,42,0,0,22,61,18,0,0,0,50,32,40,0,0,0,25,56,46,43,26,0,0,0,53,34,54,0,0,0,133,140,89,0,0,0,0,0,0,0,0,0
"gene_42",0,0,0,0,0,0,1,2,0,0,0,233,263,106,0,0,0,238,411,435,0,0,0,0,0,237,505,285,0,0,0,662,712,255,0,0,315,525,209,0,0,0,375,280,482,0,0,0,346,561,552,498,277,0,0,0,295,342,437,0,0,0,633,666,413,1,0,0,0,0,0,0,0,0
"gene_43",0,0,0,0,0,0,0,2,0,0,0,35,50,13,0,0,0,39,63,91,0,0,0,0,0,33,102,46,0,0,0,85,111,46,0,0,61,83,20,0,0,1,67,42,78,0,0,0,54,74,55,140,35,0,0,0,47,51,76,0,0,0,92,93,66,0,0,0,0,0,0,0,0,0
"gene_44",0,0,0,0,0,0,1,7,0,0,0,464,645,202,0,0,0,511,699,848,0,0,0,0,0,462,867,593,0,0,0,1303,1300,456,0,0,525,862,381,0,0,2,706,543,863,0,0,0,683,1071,1019,747,486,0,0,0,459,778,787,0,0,0,1369,1598,880,0,0,0,0,0,1,0,0,0
"gene_45",0,0,0,0,0,0,0,0,0,0,0,102,117,33,0,0,0,94,108,135,0,0,0,0,0,89,142,119,0,0,0,210,220,93,0,0,107,187,56,0,0,0,136,83,154,0,0,0,524,791,2705,2353,875,0,0,0,3988,3068,3874,0,0,0,3244,3267,2434,0,0,0,0,1,2,0,0,0
"gene_46",0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,3,14,9,0,0,0,0,0,14,19,4,0,0,0,14,18,7,0,0,10,12,5,0,0,0,5,7,7,0,0,0,11,18,56,63,14,0,0,0,203,76,133,0,0,0,270,171,208,0,0,0,0,0,0,0,0,0
"gene_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,1,5,2,0,0,0,12,7,3,0,0,2,2,3,0,0,0,8,5,11,0,0,0,7,13,15,49,7,0,0,0,28,21,20,0,0,0,5,8,6,0,0,0,3,0,0,0,0,0
"gene_48",0,0,0,0,0,0,0,1,0,0,0,26,35,14,0,0,0,48,91,76,0,0,0,0,0,82,128,58,0,0,0,181,168,64,0,0,131,250,75,0,0,0,262,169,275,0,0,0,1502,2510,3040,2647,1203,0,0,0,1966,2460,2827,0,0,0,1097,1445,898,0,0,0,0,0,0,0,0,0
"gene_49",0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,9,5,12,0,0,0,0,0,7,30,7,0,0,0,15,12,13,0,0,8,8,3,0,0,0,8,12,7,0,0,0,7,16,7,32,4,0,0,0,35,4,8,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0
"gene_50",0,0,0,0,0,0,0,0,0,0,0,8,6,4,0,0,0,19,49,87,0,0,0,0,0,44,69,38,0,0,0,76,93,38,0,0,46,69,27,0,0,0,29,36,47,0,0,0,18,43,53,49,22,0,0,0,16,21,39,0,0,0,33,42,38,0,0,0,0,0,0,0,0,0
"gene_51",0,0,0,0,0,0,0,0,0,0,0,78,91,22,0,0,0,127,247,214,0,0,0,0,0,91,221,112,0,0,0,175,273,123,0,0,107,184,62,0,0,1,166,96,168,0,0,0,178,399,471,493,141,0,0,0,462,289,500,0,0,0,340,349,297,0,0,0,0,0,0,0,0,0
"gene_52",0,0,0,0,0,0,0,0,0,0,0,10,12,3,0,0,0,29,34,54,0,0,0,0,0,43,32,27,0,0,0,102,110,32,0,0,29,86,21,0,0,0,32,32,54,0,0,0,69,91,133,117,83,0,0,0,167,133,168,0,0,0,122,102,57,0,0,0,0,0,0,0,0,0
"gene_53",0,0,0,0,0,0,0,0,0,0,0,85,93,34,0,0,0,200,336,349,0,0,0,0,0,238,412,246,0,0,0,492,522,219,0,0,247,390,144,0,0,1,215,177,304,0,0,0,180,294,209,230,140,0,0,0,147,159,201,0,0,0,280,295,182,0,0,0,0,1,0,0,0,0
"gene_54",0,0,0,0,0,0,0,0,0,0,0,46,64,16,0,0,0,175,252,370,0,0,0,0,0,303,556,408,0,0,0,906,1019,351,0,0,425,957,275,0,0,0,604,408,607,0,0,0,601,767,766,556,374,0,0,0,389,738,552,0,0,0,469,639,409,0,0,0,0,0,0,0,0,0
"gene_55",0,0,0,0,0,0,0,0,0,0,0,12,17,2,0,0,0,31,53,73,0,0,0,0,0,109,178,95,0,0,0,317,293,113,0,0,142,280,124,0,0,0,204,135,252,0,0,0,227,332,314,266,142,0,0,0,142,196,225,0,0,0,139,171,134,0,0,0,0,0,0,0,0,0
"gene_56",0,0,0,0,0,0,0,0,0,0,0,4,11,2,0,0,0,34,34,48,0,0,0,0,0,45,83,51,0,0,0,105,166,50,0,0,64,93,41,0,0,0,81,72,116,0,0,0,91,154,80,81,41,0,0,0,51,52,72,0,0,0,63,71,70,0,0,0,0,0,0,0,0,0
"gene_57",1,0,0,0,0,0,0,0,0,0,0,12,6,1,0,0,0,13,21,18,0,0,0,0,0,24,40,24,0,0,0,79,57,42,0,0,51,78,38,0,0,0,58,31,71,0,0,0,45,117,91,106,33,0,0,0,109,52,77,0,0,0,59,49,46,0,0,0,0,0,0,0,0,0
"gene_58",0,0,0,0,0,0,1,3,0,0,0,16,12,4,0,0,0,10,20,20,0,0,0,0,0,3,24,10,0,0,0,13,26,9,0,0,8,11,2,0,0,0,10,3,4,0,0,0,11,23,5,31,6,0,0,0,16,16,17,0,0,0,30,39,32,0,0,0,0,0,0,0,0,0
"gene_59",0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,7,12,0,0,0,0,0,17,26,6,0,0,0,28,57,29,0,0,29,38,17,0,0,0,34,31,65,0,0,0,51,130,75,138,35,0,0,0,84,56,81,0,0,0,47,35,27,0,0,0,0,0,0,0,0,0
"gene_60",0,0,0,0,0,0,0,0,0,0,0,53,64,11,0,0,0,44,101,84,0,0,0,0,0,54,150,99,0,0,0,179,201,88,0,0,166,180,82,0,0,0,162,137,250,0,0,0,149,295,244,271,143,0,0,0,158,180,196,0,0,0,170,192,139,0,0,0,0,0,0,0,0,0
"gene_61",0,0,0,0,0,0,0,0,0,0,0,18,29,11,0,0,0,51,63,75,0,0,0,0,0,111,188,146,0,0,0,424,407,151,0,0,198,389,150,0,0,0,286,208,360,0,0,0,388,545,555,592,247,0,0,0,379,431,416,0,0,0,347,382,256,0,0,0,0,1,0,0,0,0
"gene_62",0,0,0,0,0,0,3,1,0,0,0,116,126,34,0,0,0,132,198,211,0,0,0,0,0,75,144,83,0,0,0,201,224,122,0,0,108,141,49,0,0,3,110,96,147,0,0,0,115,201,160,178,75,0,0,0,130,135,157,0,0,0,209,259,204,0,0,0,0,0,0,0,0,0
"gene_63",0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,4,15,5,0,0,0,0,0,1,13,6,0,0,0,14,18,17,0,0,11,17,3,0,0,0,17,8,8,0,0,0,11,28,27,45,14,0,0,0,27,17,19,0,0,0,19,25,18,0,0,0,0,0,0,0,0,0
"gene_64",0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,9,17,14,0,0,0,0,0,9,33,7,0,0,0,36,28,20,0,0,23,41,12,0,0,0,16,8,32,0,0,0,25,63,62,69,14,0,0,0,48,18,39,0,0,0,36,22,11,0,0,0,0,0,0,0,0,0
"gene_65",0,0,0,0,0,0,0,1,0,0,0,12,18,12,0,0,0,37,66,43,0,0,0,0,0,54,113,63,0,0,0,150,155,65,0,0,89,123,41,0,0,0,89,59,118,0,0,0,112,182,196,167,88,0,0,0,131,113,141,0,0,0,123,96,72,0,0,0,0,0,0,0,0,0
"gene_66",0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,6,13,16,0,0,0,0,0,11,12,14,0,0,0,31,32,12,0,0,17,20,5,0,0,0,16,14,17,0,0,0,33,45,48,47,20,0,0,0,29,15,26,0,0,0,32,19,15,0,0,0,0,0,0,0,0,0
"gene_67",0,0,0,0,0,0,0,0,0,0,0,4,12,2,0,0,0,17,14,24,0,0,0,0,0,68,78,66,0,0,0,227,175,72,0,0,115,222,67,0,0,0,145,116,192,0,0,0,250,334,372,236,157,0,0,0,176,253,238,0,0,0,162,223,133,0,0,0,2,0,0,0,0,0
"gene_68",0,1,0,0,0,0,0,2,0,0,0,57,59,26,0,0,0,62,75,80,0,0,0,0,0,15,50,28,0,0,0,20,39,10,0,0,16,23,12,0,0,0,29,12,13,0,0,0,15,21,31,19,5,0,0,0,16,10,22,0,0,0,101,145,116,0,0,0,0,0,0,0,0,0
"gene_69",3,0,0,0,0,0,7,8,0,0,0,117,179,36,0,0,0,87,166,126,0,0,0,0,0,61,108,52,0,0,0,66,85,58,0,0,41,42,14,0,0,0,39,43,56,0,0,0,35,60,49,64,17,0,0,0,56,48,53,0,0,0,219,319,185,0,0,0,0,0,0,0,0,0
"gene_70",0,0,0,0,0,0,0,5,0,0,0,59,53,15,0,0,0,55,78,81,0,0,0,0,0,22,79,45,0,0,0,84,92,30,0,0,45,50,10,0,0,0,48,17,43,0,0,0,43,48,40,64,24,0,0,0,55,28,32,0,0,0,79,54,70,0,0,0,0,0,0,0,0,0
"gene_71",0,0,0,0,0,0,0,0,0,0,0,15,25,10,0,0,0,22,35,45,0,0,0,0,0,21,33,32,0,0,0,40,38,25,0,0,15,24,12,0,0,0,11,8,21,0,0,0,13,18,23,16,16,0,0,0,25,16,37,0,0,0,28,45,27,0,0,0,0,0,0,0,0,0
"gene_72",0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,17,23,26,0,0,0,0,0,20,20,11,0,0,0,23,43,8,0,0,21,35,9,0,0,0,10,10,12,0,0,0,46,67,104,89,37,0,0,0,111,89,110,0,0,0,70,65,27,0,0,0,0,0,1,0,0,0
"gene_73",0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,6,11,17,0,0,0,0,0,6,8,3,0,0,0,8,14,5,0,0,7,9,1,0,0,0,7,0,12,0,0,0,22,16,46,42,19,0,0,0,42,19,42,0,0,0,16,20,15,0,0,0,0,0,0,0,0,0
"gene_74",0,0,0,0,0,0,0,1,0,0,0,45,49,19,0,0,0,53,80,103,0,0,0,0,0,35,99,41,0,0,0,70,100,35,0,0,39,56,20,0,0,0,38,35,54,0,0,0,33,54,80,60,25,0,0,0,68,61,75,0,0,0,75,115,77,0,0,0,0,0,0,0,0,0
"gene_75",0,0,0,0,0,0,3,3,0,0,0,37,70,17,0,0,0,33,41,55,0,0,0,0,0,13,31,18,0,0,0,19,18,14,0,0,13,15,10,0,0,0,22,14,11,0,0,0,9,35,25,19,14,0,0,0,27,19,18,0,0,0,95,120,65,0,0,0,0,0,0,0,0,0
"gene_76",1,0,1,0,0,0,4,1,0,0,0,7,8,4,0,0,0,13,9,12,0,0,0,0,0,3,10,3,0,0,0,9,6,1,0,0,9,2,2,0,0,0,5,0,4,0,0,0,6,4,12,9,7,0,0,0,18,0,6,0,0,0,31,24,13,0,0,0,0,0,0,0,0,0
"gene_77",0,0,0,0,0,0,0,2,0,0,0,44,60,18,0,0,0,49,59,88,0,0,0,0,0,30,45,25,0,0,0,41,56,16,0,0,15,46,14,0,0,0,22,5,27,0,0,0,16,32,23,31,18,0,0,0,26,47,34,0,0,0,112,131,76,0,0,0,0,0,0,0,0,0
"gene_78",0,0,0,0,0,0,1,0,0,0,0,88,132,56,0,0,0,117,205,256,0,0,0,0,0,84,155,84,0,0,0,200,209,73,0,0,66,142,55,0,0,2,93,67,93,0,0,0,472,650,3388,2507,1079,0,0,0,7166,4482,6845,0,0,0,7492,5783,4826,0,0,0,0,3,5,0,0,0
"gene_79",0,0,0,0,0,0,0,0,0,0,0,117,140,35,0,0,0,137,209,205,0,0,0,0,0,84,128,113,0,0,0,165,201,74,0,0,62,140,59,0,0,0,93,50,108,0,0,0,70,66,56,50,46,0,0,0,77,99,68,0,0,0,232,264,176,0,0,0,7,0,33,0,0,0
"gene_80",0,0,0,0,0,0,0,0,0,0,0,7,8,1,0,0,0,9,28,16,0,0,0,0,0,39,49,19,0,0,0,76,60,25,0,0,36,66,30,0,0,0,62,40,72,0,0,0,61,126,74,89,42,0,0,0,34,73,41,0,0,0,51,58,48,0,0,0,0,0,0,0,0,0
"gene_81",0,0,0,0,0,0,0,0,0,0,0,12,11,3,0,0,0,7,9,14,0,0,0,0,0,8,22,6,0,0,0,21,39,13,0,0,4,7,3,0,0,0,3,18,14,0,0,0,5,13,11,27,10,0,0,0,10,2,10,0,0,0,11,9,19,0,0,0,0,0,0,0,0,0
"gene_82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,8,5,0,0,0,4,4,3,0,0,8,6,3,0,0,0,9,0,8,0,0,0,4,25,24,35,5,0,0,0,25,13,23,0,0,0,14,18,12,0,0,0,0,0,0,0,0,0
"gene_83",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,5,0,0,0,0,0,6,18,4,0,0,0,11,20,9,0,0,7,18,5,0,0,0,7,8,19,0,0,0,26,46,60,49,25,0,0,0,23,25,42,0,0,0,15,39,14,0,0,0,0,0,0,0,0,0
"gene_84",0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,8,11,12,0,0,0,0,0,17,20,11,0,0,0,28,18,9,0,0,21,24,12,0,0,0,25,19,27,0,0,0,40,55,107,88,41,0,0,0,76,90,100,0,0,0,66,60,46,0,0,0,0,0,0,0,0,0
"gene_85",0,0,0,0,0,0,3,16,0,0,0,184,275,62,0,0,0,144,291,350,0,0,0,0,0,79,232,100,0,0,0,122,172,100,0,0,74,88,57,0,0,0,79,86,111,0,0,0,52,105,79,144,38,0,0,0,105,71,117,0,0,0,349,496,402,0,0,0,0,0,0,0,0,0
