"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_682",0,0,0,0,0,0,0,3,0,0,0,259,274,92,0,0,0,375,570,597,0,0,0,0,1,304,633,439,0,0,0,669,870,399,0,0,358,498,238,0,0,0,441,303,424,0,0,0,286,437,299,265,168,0,0,0,272,287,354,0,0,0,685,673,499,0,0,0,0,0,0,0,0,0
"gene_683",0,0,0,0,0,0,0,0,0,0,0,21,50,15,0,0,0,40,49,74,0,0,0,0,0,47,80,48,0,0,0,142,122,64,0,0,70,100,50,0,0,0,89,54,137,0,0,0,112,177,162,138,74,0,0,0,84,92,146,0,0,0,133,120,79,0,0,0,2,0,0,0,0,0
"gene_684",0,0,0,0,0,0,0,0,0,0,0,111,155,60,0,0,0,156,245,343,0,0,0,0,0,539,856,621,0,0,0,1845,1659,695,0,0,1016,1680,707,0,0,0,1522,1118,1741,0,0,0,2359,3421,3621,2840,1716,0,0,0,2107,2966,2989,0,0,0,1509,1970,1425,0,0,0,0,0,1,0,0,0
"gene_685",0,0,0,0,0,0,0,1,0,0,0,215,279,85,0,0,0,190,266,291,0,0,0,0,0,116,279,148,0,0,0,245,340,142,0,0,114,169,91,0,0,0,201,121,214,0,0,0,178,316,269,223,122,0,0,0,148,189,235,0,0,0,508,577,418,0,0,0,0,0,0,0,0,0
"gene_686",0,0,0,0,0,0,0,0,0,0,0,61,53,22,0,0,0,57,87,89,0,0,0,0,0,35,103,35,0,0,0,64,98,43,0,0,46,42,26,0,0,0,29,45,55,0,0,0,33,66,44,106,22,0,0,0,51,55,50,0,0,0,117,121,105,0,0,0,0,0,0,0,0,0
"gene_687",0,0,0,0,0,0,0,0,0,0,0,21,18,5,0,0,0,73,83,121,0,0,0,0,0,172,407,294,0,0,0,673,799,281,0,0,440,597,261,0,0,1,644,498,741,0,0,0,657,1032,1012,755,450,0,0,0,462,681,751,0,0,0,550,594,401,0,0,0,0,0,0,0,0,0
"gene_688",0,0,0,0,0,0,0,0,0,0,0,33,25,15,0,0,0,93,152,186,0,0,0,0,1,224,434,328,0,0,1,842,857,340,0,0,422,670,322,0,0,4,684,438,721,0,0,0,772,1154,1037,773,560,0,0,0,443,742,730,0,0,0,505,659,428,0,0,0,0,0,0,0,0,0
"gene_689",0,0,0,0,0,0,0,0,0,0,0,35,37,9,0,0,0,33,70,73,0,0,0,0,0,112,179,115,0,0,0,228,303,119,0,0,176,243,97,0,0,0,202,154,283,0,0,0,245,412,391,421,162,0,0,0,261,225,281,0,0,0,232,215,150,0,0,0,0,0,0,0,0,0
"gene_690",0,0,0,0,0,0,0,0,0,0,0,10,13,2,0,0,0,15,13,21,0,0,0,0,0,11,25,17,0,0,0,28,39,20,0,0,14,27,11,0,0,0,20,11,26,0,0,0,21,51,52,84,21,0,0,0,70,59,55,0,0,0,55,53,28,0,0,0,0,0,0,0,0,0
"gene_691",0,0,0,0,0,0,0,0,0,0,0,21,28,8,0,0,0,34,52,57,0,0,0,0,0,27,60,13,0,0,0,51,67,34,0,0,21,40,19,0,0,0,40,39,26,0,0,0,19,40,20,45,15,0,0,0,25,20,16,0,0,0,50,56,40,0,0,0,0,0,0,0,0,0
"gene_692",0,0,0,0,0,0,0,0,0,0,0,6,18,7,0,0,0,28,30,31,0,0,0,0,0,9,51,15,0,0,0,48,35,20,0,0,23,42,12,0,0,0,18,18,22,0,0,0,18,21,11,38,15,0,0,0,17,23,33,0,0,0,23,42,22,0,0,0,0,0,0,0,0,0
"gene_693",0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,0,5,18,20,0,0,0,0,0,11,44,31,0,0,0,56,81,32,0,0,35,32,24,0,0,0,55,43,49,0,0,0,53,130,75,127,33,0,0,0,49,45,66,0,0,0,28,33,36,0,0,0,0,0,0,0,0,0
"gene_694",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,14,16,13,0,0,0,0,0,25,34,23,0,0,0,68,79,48,0,0,55,50,27,0,0,0,58,34,76,0,0,0,89,152,149,180,44,0,0,0,117,107,99,0,0,0,80,63,52,0,0,0,0,0,0,0,0,0
"gene_695",0,0,0,0,0,0,0,0,1,0,0,9,14,2,0,0,0,10,29,35,0,0,0,0,0,18,79,25,0,0,0,61,93,51,0,0,77,64,37,0,0,0,83,57,72,0,0,0,67,167,135,221,55,0,0,0,172,91,124,0,0,0,82,63,49,0,0,0,0,0,0,0,0,0
"gene_696",0,0,0,0,0,0,0,0,0,0,0,16,9,4,0,0,0,3,26,19,0,0,0,0,0,5,29,7,0,0,0,21,24,12,0,0,26,18,6,0,0,0,10,10,20,0,0,0,12,54,44,148,6,0,0,0,89,21,23,0,0,0,49,49,44,0,0,0,0,0,0,0,0,0
"gene_697",1,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,22,23,47,0,0,0,0,0,86,162,108,0,0,0,334,328,128,0,0,203,320,94,0,0,0,252,142,310,0,0,0,348,609,618,408,256,0,0,0,308,530,496,0,0,0,260,328,223,0,0,0,0,0,0,0,0,0
